STUDENTID,SCHOOLID,T_assignment,Pretest_ELA.TOTAL,Posttest_ELA.TOTAL
272025,9,0,160,170
273500,11,1,173,170
274610,4,0,177,180
276756,11,0,177,170
276933,4,0,151,166
277015,9,0,171,174
277075,11,1,176,192
277078,11,1,163,179
277197,6,0,176,178
277235,4,1,154,179
277246,9,1,165,170
277469,11,0,165,173
277548,9,1,149,168
277619,6,1,166,184
279319,11,0,157,163
279327,4,1,161,173
279467,6,1,160,183
279533,9,1,155,172
279698,9,0,154,161
279923,4,1,157,174
280803,9,0,148,173
281854,4,1,161,184
283968,11,0,162,197
284582,4,0,179,179
284698,9,1,167,193
285152,11,1,172,183
286198,6,0,173,183
711918,3,1,169,175
715978,2,1,147,176
730166,3,1,153,171
733979,3,0,152,168
751359,22,0,159,174
761756,2,0,145,167
801580,2,1,153,177
806383,15,0,150,166
824436,14,1,155,171
827338,7,0,161,178
827856,14,0,159,169
827964,14,0,152,158
827986,14,1,158,164
827988,5,1,170,184
828197,14,0,155,171
828248,5,1,177,180
828546,7,1,159,171
831355,5,0,158,172
831399,7,0,152,172
831403,7,1,153,187
831703,5,0,159,155
832865,7,0,159,165
833045,14,1,160,163
835212,15,0,152,160
835569,7,1,173,183
843661,7,1,154,181
860262,3,1,173,189
863544,22,1,162,172
865768,2,1,150,165
893120,2,1,169,174
894210,2,0,159,170
895093,2,0,160,166
909658,15,0,167,170
922023,15,1,166,179
947730,22,1,155,178
957091,15,1,160,174
958418,22,0,188,199
970876,15,0,160,166
971401,15,1,160,192
972756,21,1,156,166
5793540,20,1,181,183
5793556,10,1,148,169
5793557,10,1,154,163
5793558,10,1,157,166
5793559,10,1,149,171
5793560,10,1,167,174
5793561,10,1,152,171
5793562,10,0,163,162
5793563,10,0,176,179
5793564,10,0,173,184
5793565,10,0,172,166
5793566,10,0,158,168
5793610,19,1,157,167
5793611,19,1,181,185
5793612,19,1,167,165
5793613,19,1,170,185
5793614,19,0,172,166
5793615,19,0,154,166
5793616,19,0,172,173
5793617,19,0,156,172.15254237288136
5793647,12,1,166,161
5793648,12,1,168,181
5793649,12,1,170,181
5793650,12,1,168,187
5793651,12,1,173,195
5793652,12,0,173,160
5793653,12,0,156,172
5793654,12,0,167,170
5793655,12,0,166,172
5793656,12,0,166,175
5793799,20,1,156,171
5793801,20,1,156,171
5793804,20,0,164,165
5793805,20,0,155,175
5793806,20,0,172,170
5793807,20,0,158,188
5796172,1,1,167,177
5796173,1,1,159,171
5796174,1,1,180,179
5796175,1,1,160,166
5796176,1,0,158,173
5796177,1,0,171,180
5796178,1,0,176,181
5796179,1,0,163,163
116233008,8,0,153,163
300006749,13,0,164,178
300006896,18,1,166,194
300007001,13,1,162,174
300007053,13,0,182,208
300007065,18,0,158,172.15254237288136
300007138,13,1,172,194
300007141,18,1,163,178
415233002,8,0,165,165
715233001,8,1,163,162
715233008,8,1,157,172
814233041,8,0,156,166
